DTSTART,DTEND,LOCATION,SUMMARY,DOZENT
2025-02-18T11:15:00+00:00,2025-02-18T12:45:00+00:00,Y13-L-11/13,Computational Methods for Radiative Transfer,Lucio Mayer
2025-02-25T11:15:00+00:00,2025-02-25T12:45:00+00:00,Y13-L-11/13,Computational Methods for Radiative Transfer,Lucio Mayer
2025-03-04T11:15:00+00:00,2025-03-04T12:45:00+00:00,Y13-L-11/13,Computational Methods for Radiative Transfer,Lucio Mayer
2025-03-11T11:15:00+00:00,2025-03-11T12:45:00+00:00,Y13-L-11/13,Computational Methods for Radiative Transfer,Lucio Mayer
2025-03-18T11:15:00+00:00,2025-03-18T12:45:00+00:00,Y13-L-11/13,Computational Methods for Radiative Transfer,Lucio Mayer
2025-03-25T11:15:00+00:00,2025-03-25T12:45:00+00:00,Y13-L-11/13,Computational Methods for Radiative Transfer,Lucio Mayer
2025-04-01T10:15:00+00:00,2025-04-01T11:45:00+00:00,Y13-L-11/13,Computational Methods for Radiative Transfer,Lucio Mayer
2025-04-08T10:15:00+00:00,2025-04-08T11:45:00+00:00,Y13-L-11/13,Computational Methods for Radiative Transfer,Lucio Mayer
2025-04-15T10:15:00+00:00,2025-04-15T11:45:00+00:00,Y13-L-11/13,Computational Methods for Radiative Transfer,Lucio Mayer
2025-04-29T10:15:00+00:00,2025-04-29T11:45:00+00:00,Y13-L-11/13,Computational Methods for Radiative Transfer,Lucio Mayer
2025-05-06T10:15:00+00:00,2025-05-06T11:45:00+00:00,Y13-L-11/13,Computational Methods for Radiative Transfer,Lucio Mayer
2025-05-13T10:15:00+00:00,2025-05-13T11:45:00+00:00,Y13-L-11/13,Computational Methods for Radiative Transfer,Lucio Mayer
2025-05-20T10:15:00+00:00,2025-05-20T11:45:00+00:00,Y13-L-11/13,Computational Methods for Radiative Transfer,Lucio Mayer
2025-05-27T10:15:00+00:00,2025-05-27T11:45:00+00:00,Y13-L-11/13,Computational Methods for Radiative Transfer,Lucio Mayer
"2025-02-21T11:15:00+00:00,2025-02-21T12:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""Exercises The Universe: Contents, Origin, Evolution and Future"",Pedro Rosado Capelo"
"2025-02-28T11:15:00+00:00,2025-02-28T12:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""Exercises The Universe: Contents, Origin, Evolution and Future"",Pedro Rosado Capelo"
"2025-03-07T11:15:00+00:00,2025-03-07T12:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""Exercises The Universe: Contents, Origin, Evolution and Future"",Pedro Rosado Capelo"
"2025-03-14T11:15:00+00:00,2025-03-14T12:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""Exercises The Universe: Contents, Origin, Evolution and Future"",Pedro Rosado Capelo"
"2025-03-21T11:15:00+00:00,2025-03-21T12:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""Exercises The Universe: Contents, Origin, Evolution and Future"",Pedro Rosado Capelo"
"2025-03-28T11:15:00+00:00,2025-03-28T12:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""Exercises The Universe: Contents, Origin, Evolution and Future"",Pedro Rosado Capelo"
"2025-04-04T10:15:00+00:00,2025-04-04T11:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""Exercises The Universe: Contents, Origin, Evolution and Future"",Pedro Rosado Capelo"
"2025-04-11T10:15:00+00:00,2025-04-11T11:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""Exercises The Universe: Contents, Origin, Evolution and Future"",Pedro Rosado Capelo"
"2025-05-02T10:15:00+00:00,2025-05-02T11:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""Exercises The Universe: Contents, Origin, Evolution and Future"",Pedro Rosado Capelo"
"2025-05-09T10:15:00+00:00,2025-05-09T11:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""Exercises The Universe: Contents, Origin, Evolution and Future"",Pedro Rosado Capelo"
"2025-05-16T10:15:00+00:00,2025-05-16T11:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""Exercises The Universe: Contents, Origin, Evolution and Future"",Pedro Rosado Capelo"
"2025-05-23T10:15:00+00:00,2025-05-23T11:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""Exercises The Universe: Contents, Origin, Evolution and Future"",Pedro Rosado Capelo"
"2025-05-30T10:15:00+00:00,2025-05-30T11:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""Exercises The Universe: Contents, Origin, Evolution and Future"",Pedro Rosado Capelo"
"2025-02-18T14:00:00+00:00,2025-02-18T16:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""The Universe: Contents, Origin, Evolution and Future"","
"2025-02-25T14:00:00+00:00,2025-02-25T16:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""The Universe: Contents, Origin, Evolution and Future"","
"2025-03-04T14:00:00+00:00,2025-03-04T16:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""The Universe: Contents, Origin, Evolution and Future"","
"2025-03-11T14:00:00+00:00,2025-03-11T16:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""The Universe: Contents, Origin, Evolution and Future"","
"2025-03-18T14:00:00+00:00,2025-03-18T16:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""The Universe: Contents, Origin, Evolution and Future"","
"2025-03-25T14:00:00+00:00,2025-03-25T16:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""The Universe: Contents, Origin, Evolution and Future"","
"2025-04-01T13:00:00+00:00,2025-04-01T15:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""The Universe: Contents, Origin, Evolution and Future"","
"2025-04-08T13:00:00+00:00,2025-04-08T15:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""The Universe: Contents, Origin, Evolution and Future"","
"2025-04-15T13:00:00+00:00,2025-04-15T15:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""The Universe: Contents, Origin, Evolution and Future"","
"2025-04-29T13:00:00+00:00,2025-04-29T15:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""The Universe: Contents, Origin, Evolution and Future"","
"2025-05-06T13:00:00+00:00,2025-05-06T15:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""The Universe: Contents, Origin, Evolution and Future"","
"2025-05-13T13:00:00+00:00,2025-05-13T15:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""The Universe: Contents, Origin, Evolution and Future"","
"2025-05-20T13:00:00+00:00,2025-05-20T15:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""The Universe: Contents, Origin, Evolution and Future"","
"2025-05-27T13:00:00+00:00,2025-05-27T15:00:00+00:00,Y16-G-05 (Hörsaal mit Exp.bühne),""The Universe: Contents, Origin, Evolution and Future"","
2025-02-21T09:30:00+00:00,2025-02-21T11:00:00+00:00,Y36-K-08,Research Seminar Computational Science,Robert Feldmann
2025-02-28T09:30:00+00:00,2025-02-28T11:00:00+00:00,Y36-K-08,Research Seminar Computational Science,Robert Feldmann
2025-03-07T09:30:00+00:00,2025-03-07T11:00:00+00:00,Y36-K-08,Research Seminar Computational Science,Robert Feldmann
2025-03-14T09:30:00+00:00,2025-03-14T11:00:00+00:00,Y36-K-08,Research Seminar Computational Science,Robert Feldmann
2025-03-21T09:30:00+00:00,2025-03-21T11:00:00+00:00,Y36-K-08,Research Seminar Computational Science,Robert Feldmann
2025-03-28T09:30:00+00:00,2025-03-28T11:00:00+00:00,Y36-K-08,Research Seminar Computational Science,Robert Feldmann
2025-04-04T08:30:00+00:00,2025-04-04T10:00:00+00:00,Y36-K-08,Research Seminar Computational Science,Robert Feldmann
2025-04-11T08:30:00+00:00,2025-04-11T10:00:00+00:00,Y36-K-08,Research Seminar Computational Science,Robert Feldmann
2025-05-02T08:30:00+00:00,2025-05-02T10:00:00+00:00,Y36-K-08,Research Seminar Computational Science,Robert Feldmann
2025-05-09T08:30:00+00:00,2025-05-09T10:00:00+00:00,Y36-K-08,Research Seminar Computational Science,Robert Feldmann
2025-05-16T08:30:00+00:00,2025-05-16T10:00:00+00:00,Y36-K-08,Research Seminar Computational Science,Robert Feldmann
2025-05-23T08:30:00+00:00,2025-05-23T10:00:00+00:00,Y36-K-08,Research Seminar Computational Science,Robert Feldmann
2025-05-30T08:30:00+00:00,2025-05-30T10:00:00+00:00,Y36-K-08,Research Seminar Computational Science,Robert Feldmann
2025-02-20T15:00:00+00:00,2025-02-20T16:00:00+00:00,Y11-F-42 Seminarraum,Recent research highlights in astrophysics,Robert Feldmann
2025-02-27T15:00:00+00:00,2025-02-27T16:00:00+00:00,Y11-F-42 Seminarraum,Recent research highlights in astrophysics,Robert Feldmann
2025-03-06T15:00:00+00:00,2025-03-06T16:00:00+00:00,Y11-F-42 Seminarraum,Recent research highlights in astrophysics,Robert Feldmann
2025-03-13T15:00:00+00:00,2025-03-13T16:00:00+00:00,Y11-F-42 Seminarraum,Recent research highlights in astrophysics,Robert Feldmann
2025-03-20T15:00:00+00:00,2025-03-20T16:00:00+00:00,Y11-F-42 Seminarraum,Recent research highlights in astrophysics,Robert Feldmann
2025-03-27T15:00:00+00:00,2025-03-27T16:00:00+00:00,Y11-F-42 Seminarraum,Recent research highlights in astrophysics,Robert Feldmann
2025-04-03T14:00:00+00:00,2025-04-03T15:00:00+00:00,Y11-F-42 Seminarraum,Recent research highlights in astrophysics,Robert Feldmann
2025-04-10T14:00:00+00:00,2025-04-10T15:00:00+00:00,Y11-F-42 Seminarraum,Recent research highlights in astrophysics,Robert Feldmann
2025-05-08T14:00:00+00:00,2025-05-08T15:00:00+00:00,Y11-F-42 Seminarraum,Recent research highlights in astrophysics,Robert Feldmann
